student_id,student_name,email,program,year_of_study,enrollment_date,is_commuter,works_part_time,has_declared_disability,is_international,financial_support,attendance_rate,attendance_slope_4w,vle_logins_last_week,vle_time_hours_last_week,vle_logins_slope_4w,vle_hours_slope_4w,materials_accessed_last_4w,engagement_trend,assignments_submitted_on_time,assignments_submitted_late,last_assessment_grade,previous_semester_gpa,accessed_upcoming_assessment_brief,days_to_nearest_assessment,withdrew,failed_next_assessment,prior_intervention_count,prior_interventions_improved,split,consecutive_missed_max,late_arrivals_total,excused_absences,unexcused_absences,quiz_attempts_count,resource_downloads_count,forum_posts_count,mean_module_grade,module_grade_variance,wellbeing_score,wellbeing_flags,wellbeing_last_checkin,missing_assignments_count
STU0001,Ruth Griffiths,ruth.griffiths@student.chester.ac.uk,Business Analytics,3,2024-09-20,True,False,False,False,Full,79.48,-5.4,6,5.91,-1.12,0.13,12,Declining,3,0,79,3.19,False,9,False,False,1,1,train,2,8,2,9,5,5,2,76.8,13.9,7,0,2025-03-20,3
STU0002,Henry Smith,henry.smith@student.chester.ac.uk,Psychology,3,2024-09-09,False,False,False,False,Self-funded,76.51,7.11,10,7.1,3.75,2.36,3,Improving,6,0,82,3.81,False,12,False,False,0,0,train,2,4,4,13,2,5,1,84.2,75.7,7,0,2025-03-06,1
STU0003,Bradley Newman,bradley.newman@student.chester.ac.uk,Psychology,3,2024-09-08,False,True,False,True,Partial,81.92,-2.05,3,0.0,-2.75,-2.94,10,Stable,6,0,83,3.68,True,12,False,True,1,1,train,1,4,1,10,4,9,2,84.7,5.4,8,1,2025-02-22,1
STU0004,Sian Cox,sian.cox@student.chester.ac.uk,Business Analytics,1,2024-09-28,False,True,False,False,Partial,54.44,1.97,1,0.0,0.38,0.41,0,Stable,0,0,40,1.85,False,14,False,True,1,0,test,3,6,4,23,0,5,0,42.0,26.3,8,0,2025-02-25,5
STU0005,Janice Hopkins,janice.hopkins@student.chester.ac.uk,Data Science,3,2024-09-01,False,False,True,False,Self-funded,63.65,7.92,0,0.0,2.12,-0.02,1,Improving,1,0,41,2.44,False,20,False,False,0,0,val,3,2,6,21,4,13,1,41.3,198.6,10,0,2025-03-11,0
STU0006,Mary Higgins,mary.higgins@student.chester.ac.uk,Engineering,2,2024-10-05,False,False,False,False,Self-funded,74.84,7.32,4,0.77,1.5,-0.89,7,Improving,3,0,37,2.56,False,3,False,False,0,0,test,2,6,4,14,3,7,1,28.6,219.4,8,0,2025-03-08,0
STU0007,Colin Lloyd,colin.lloyd@student.chester.ac.uk,Business Analytics,3,2024-09-01,False,True,False,False,Partial,70.94,11.5,6,2.21,2.88,1.23,1,Improving,3,2,73,3.4,False,21,True,False,2,2,train,3,3,2,20,3,7,0,77.4,48.9,8,3,2025-03-10,0
STU0008,Leanne Foster,leanne.foster@student.chester.ac.uk,Data Science,1,2024-09-28,False,True,False,False,Self-funded,87.59,4.94,4,0.0,-0.25,0.85,12,Improving,4,0,73,3.33,False,10,False,False,1,1,train,1,9,0,9,2,9,3,70.3,23.9,7,0,2025-03-20,0
STU0009,Chelsea Ryan,chelsea.ryan@student.chester.ac.uk,Business Analytics,1,2024-09-22,False,False,False,False,Full,72.05,9.57,5,2.19,1.38,0.44,3,Improving,3,2,60,3.1,False,11,False,False,0,0,train,3,5,4,18,1,5,1,55.6,93.3,9,1,2025-03-14,0
STU0010,Francesca Harrison,francesca.harrison@student.chester.ac.uk,Computer Science,3,2024-09-13,False,False,False,False,Full,57.47,4.86,0,0.53,0.5,-0.2,2,Improving,1,1,40,2.39,False,11,False,True,2,1,train,3,2,4,24,1,6,0,39.2,20.7,9,0,2025-02-24,1
STU0011,Samantha Quinn,samantha.quinn@student.chester.ac.uk,Business Analytics,2,2024-09-03,False,False,False,False,Full,74.86,0.52,2,0.0,1.25,1.18,4,Stable,2,0,80,4.0,False,8,False,False,0,0,train,1,1,5,10,2,7,0,82.7,75.2,5,1,2025-02-22,1
STU0012,Joan White,joan.white@student.chester.ac.uk,Business Analytics,1,2024-10-22,False,False,False,False,Partial,88.77,-2.44,8,5.28,1.38,1.73,15,Stable,3,0,86,4.0,True,14,False,False,0,0,train,1,6,0,6,1,6,1,84.4,14.7,7,0,2025-03-10,0
STU0013,Thomas Reed,thomas.reed@student.chester.ac.uk,Computer Science,1,2024-10-12,False,False,False,False,Self-funded,40.98,-2.11,0,0.0,-0.38,-0.72,0,Stable,2,2,16,1.63,False,4,True,True,2,1,val,3,3,4,31,1,8,1,14.8,22.2,5,1,2025-03-21,2
STU0014,Sam Harrison,sam.harrison@student.chester.ac.uk,Psychology,2,2024-10-14,False,False,False,False,Partial,65.53,-1.99,7,6.25,0.88,2.11,3,Stable,3,0,44,2.77,False,19,False,True,2,2,val,2,4,2,20,2,4,0,41.3,23.5,5,1,2025-02-26,1
STU0015,Maurice White,maurice.white@student.chester.ac.uk,Engineering,2,2024-09-22,False,True,False,True,Self-funded,58.56,5.25,0,0.0,-0.38,-0.02,0,Improving,1,2,39,2.61,False,5,False,True,1,0,train,3,3,3,24,1,3,2,26.5,46.9,5,0,2025-03-10,2
STU0016,Robin Andrews,robin.andrews@student.chester.ac.uk,Engineering,3,2024-09-21,False,False,True,False,Partial,95.87,13.46,8,3.41,4.62,1.71,15,Improving,7,0,76,3.23,True,3,False,False,0,0,train,1,6,1,7,3,2,4,80.2,156.7,6,3,2025-03-05,1
STU0017,Tom Warner,tom.warner@student.chester.ac.uk,Psychology,1,2024-10-21,True,False,False,False,Self-funded,55.64,10.22,1,0.9,0.25,0.47,0,Improving,2,0,35,2.28,False,3,True,False,0,0,val,3,7,4,25,3,3,1,41.3,6.4,9,0,2025-03-21,0
STU0018,Jessica Glover,jessica.glover@student.chester.ac.uk,Computer Science,1,2024-10-14,False,True,False,True,Self-funded,66.64,11.05,5,0.24,4.88,1.29,8,Improving,5,0,56,2.36,True,21,False,False,0,0,train,2,4,7,17,0,7,5,58.9,207.0,6,0,2025-03-08,2
STU0019,Leigh Butler,leigh.butler@student.chester.ac.uk,Psychology,2,2024-09-10,False,False,False,False,Self-funded,83.32,-14.75,6,1.22,-2.12,-1.05,22,Declining,4,0,55,2.84,True,9,False,False,0,0,train,1,1,2,2,6,13,0,55.6,95.0,8,1,2025-03-16,2
STU0020,Samuel Elliott,samuel.elliott@student.chester.ac.uk,Computer Science,3,2024-09-07,False,True,False,False,Full,80.99,24.87,7,0.18,3.5,1.59,3,Improving,8,0,60,3.38,True,9,False,False,0,0,train,3,4,4,18,3,7,3,61.5,67.7,9,1,2025-02-26,0
STU0021,Paula Harvey,paula.harvey@student.chester.ac.uk,Engineering,3,2024-09-03,False,False,False,False,Partial,69.66,1.88,3,2.21,0.75,0.18,7,Stable,2,0,70,2.94,False,12,False,False,0,0,test,2,7,1,19,2,12,0,69.1,17.4,6,0,2025-03-10,3
STU0022,Gemma Ferguson,gemma.ferguson@student.chester.ac.uk,Psychology,2,2024-09-08,False,True,False,False,Full,63.4,-5.7,2,3.39,-2.88,-0.32,2,Declining,2,1,38,2.88,False,17,True,False,0,0,train,2,8,5,15,0,10,1,35.8,88.7,8,0,2025-03-13,1
STU0023,Billy Norton,billy.norton@student.chester.ac.uk,Data Science,2,2024-09-23,False,False,False,False,Partial,73.31,-4.23,6,2.92,1.5,-0.89,5,Declining,4,0,79,3.12,True,21,False,False,0,0,val,2,3,3,11,1,4,1,76.5,166.7,10,0,2025-02-26,1
